project_name	publication_year	publication_doi	oil_reservoir	oil_wells	latitude	longitude	geo_loc_name	study_primary_focus	study_process	depth	temp	pH	salinity	API	NO3-	PO43-	SO42-	Ca2+	Mg2+	Na+	К+	Cl-	HCO3-	Acetate	sample_name	feature	material	collection_date	archive	archive_project	archive_accession
Cristman 2020	2020	10.1038/s41598-020-64904-6	B7	Galveston 209	29.00	-94.00	USA	ecology	metabolism	3350	88	unknown	280	None	0.99	0.99	38	1206	308	None	None	None	None	unknown	B7 Reservoir	oil reservoir	production fluid	2016	SRA	PRJNA578106	SRS5536770
Cristman 2020	2020	10.1038/s41598-020-64904-6	B6	Galveston 209	29.00	-94.00	USA	ecology	metabolism	3350	91	unknown	280	None	0.99	0.99	22	578	122	None	None	None	None	unknown	B6 Reservoir	oil reservoir	production fluid	2016	SRA	PRJNA578106	SRS5536769
Devi2022	2022	10.1007/s10661-021-09669-9	None	None	26.82	94.69	India	ecology	contamination	unknown	33	17.68	unknown	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	C	soil	soil	2018	SRA	PRJNA557093	SRS5172440
Devi2022	2022	10.1007/s10661-021-09669-9	None	None	27.01	94.89	India	ecology	contamination	unknown	34	11.76	unknown	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	SA3	soil	oil contaminated soil	2018	SRA	PRJNA557093	SRS5172439
Devi2022	2022	10.1007/s10661-021-09669-9	None	None	26.78	94.67	India	ecology	contamination	unknown	35	8.37	unknown	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	SA2	soil	oil contaminated soil	2018	SRA	PRJNA557093	SRS5172438
Devi2022	2022	10.1007/s10661-021-09669-9	None	None	27.02	94.88	India	ecology	contamination	unknown	33	40.08	unknown	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	SA1	soil	oil contaminated soil	2018	SRA	PRJNA557093	SRS5172437
Eze2020	2020	10.1128/MRA.00333-20	Wietze	unknown	52.66	9.83	Germany	ecology	bioremediation	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	BoreSample2	soil	oil contaminated soil	2016	SRA	PRJNA592873	SRS5748317
Eze2020	2020	10.1128/MRA.00333-20	Wietze	unknown	52.66	9.83	Germany	ecology	bioremediation	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	BoreSample1	soil	oil contaminated soil	2016	SRA	PRJNA592873	SRS5748315
Eze2020	2020	10.1128/MRA.00333-20	Wietze	unknown	52.66	9.83	Germany	ecology	bioremediation	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	BoreReference	soil	soil	2016	SRA	PRJNA592873	SRS5748318
Eze2020	2020	10.1128/MRA.00333-20	Wietze	unknown	52.66	9.83	Germany	ecology	bioremediation	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	unknown	BoreSample3	soil	oil contaminated soil	2016	SRA	PRJNA592873	SRS5748316
Eze2021	2021	10.1186/s13568-021-01250-4	Wietze	None	52.39	9.50	Germany	ecology	oil degradation	None	unknown	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	TarPit2_enrich1	oil reservoir	oil contaminated soil	2019	SRA	PRJNA612814	SRS7268601
Eze2021	2021	10.1186/s13568-021-01250-4	Wietze	None	52.39	9.50	Germany	ecology	oil degradation	None	unknown	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	TarPit1_enrich1	oil reservoir	oil contaminated soil	2019	SRA	PRJNA612814	SRS7268600
Eze2021	2021	10.1186/s13568-021-01250-4	Wietze	None	52.39	9.50	Germany	ecology	oil degradation	None	unknown	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	TarPit_Ref2	oil reservoir	soil	2019	SRA	PRJNA612814	SRS7268599
Eze2021	2021	10.1186/s13568-021-01250-4	Wietze	None	52.39	9.50	Germany	ecology	oil degradation	None	unknown	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	TarPit_Ref1	oil reservoir	soil	2019	SRA	PRJNA612814	SRS7268598
Eze2021	2021	10.1186/s13568-021-01250-4	Wietze	None	52.39	9.50	Germany	ecology	oil degradation	None	unknown	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	TarPit3_Water	oil reservoir	oil contaminated water	2019	SRA	PRJNA612814	SRS7268597
Eze2021	2021	10.1186/s13568-021-01250-4	Wietze	None	52.39	9.50	Germany	ecology	oil degradation	None	unknown	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	TarPit2_Water	oil reservoir	oil contaminated water	2019	SRA	PRJNA612814	SRS7268596
